Alpha,q,delta_e,Output1,Output2,Output3
-0.993945994,-0.277334695,-0.704673968,-2.0202196,-1.8866616,1.5725166
-0.98155973,-0.185538972,-0.649631384,-1.9470434,-1.804402,1.4692336
-0.963411388,-0.098913735,-0.591081527,-1.8621336,-1.712339,1.3586423
-0.939877838,-0.015677322,-0.568391668,-1.797085,-1.6274619,1.2710907
-0.911266014,0.065326445,-0.562236046,-1.7369921,-1.5415103,1.1912918
-0.877885613,0.144117418,-0.575334613,-1.6845146,-1.4562069,1.121742
-0.84007053,0.220638516,-0.574475687,-1.6139256,-1.3578169,1.0369337
-0.798123542,0.294805288,-0.590222602,-1.5499175,-1.2601278,0.96115977
-0.75243409,0.365811507,-0.591081527,-1.4682899,-1.1505423,0.8706902
-0.703359718,0.433625208,-0.588433179,-1.37864,-1.0346338,0.7748733
-0.651253941,0.498066053,-0.591081527,-1.288535,-0.91691256,0.6811112
-0.596467483,0.55913388,-0.585856403,-1.1881291,-0.7923148,0.5795471
-0.539329202,0.616772386,-0.590222602,-1.0917897,-0.66900164,0.48425865
-0.480207037,0.670592709,-0.584925906,-0.9849249,-0.5394631,0.38084725
-0.41946909,0.720291952,-0.579700811,-0.87587345,-0.4086869,0.2775206
-0.357430836,0.766363366,-0.566602245,-0.7588176,-0.27360916,0.16821836
-0.294381671,0.808780612,-0.574475687,-0.6570633,-0.14722838,0.075846784
-0.230644607,0.847474721,-0.560518225,-0.5372761,-0.0116481185,-0.032603428
-0.166512092,0.882251057,-0.56574332,-0.4324131,0.11480143,-0.12463316
-0.102404687,0.911943497,-0.545630236,-0.3080518,0.25015062,-0.23393549
-0.038750553,0.935933843,-0.517715253,-0.1788361,0.38580737,-0.34597856
0.023988072,0.953602171,-0.478348011,-0.042699926,0.52227616,-0.46274072
0.085205928,0.963001991,-0.430319945,0.09695576,0.65649605,-0.5803403
0.143976136,0.960283952,-0.334192239,0.26942936,0.8023336,-0.7265603
0.198988289,0.940190629,-0.176079005,0.48302445,0.9613649,-0.90805614
