a,q,delta e,cd
0.147473772,1.353315649,-0.15,0.034768711
0.148095217,1.354630734,-0.15,0.034882187
0.148716816,1.355939085,-0.15,0.034995691
0.149338566,1.357240707,-0.15,0.035109222
0.149960459,1.358535605,-0.15,0.03522278
0.15058249,1.359823782,-0.15,0.035336363
0.151204654,1.361105244,-0.15,0.03544997
0.151826945,1.362379995,-0.15,0.0355636
0.152449358,1.36364804,-0.15,0.035677253
0.153071885,1.364909383,-0.15,0.035790926
0.153694523,1.366164029,-0.15,0.03590462
0.154317266,1.367411983,-0.15,0.036018333
0.154940107,1.36865325,-0.15,0.036132064
0.155563041,1.369887834,-0.15,0.036245811
0.156186064,1.371115741,-0.15,0.036359575
0.156809168,1.372336976,-0.15,0.036473354
0.157432349,1.373551543,-0.15,0.036587147
0.158055601,1.374759448,-0.15,0.036700953
0.158678918,1.375960695,-0.15,0.03681477
0.159302296,1.377155291,-0.15,0.036928599
0.159925728,1.37834324,-0.15,0.037042438
0.16054921,1.379524547,-0.15,0.037156286
0.161172735,1.380699218,-0.15,0.037270141
0.161796299,1.381867258,-0.15,0.037384004
0.162419895,1.383028672,-0.15,0.037497873
0.163043519,1.384183467,-0.15,0.037611747
0.163667166,1.385331647,-0.15,0.037725624
0.164290829,1.386473217,-0.15,0.037839505
0.164914503,1.387608184,-0.15,0.037953388
0.165538183,1.388736554,-0.15,0.038067272
0.166161864,1.389858331,-0.15,0.038181156
0.166785541,1.390973521,-0.15,0.03829504
0.167409208,1.392082131,-0.15,0.038408921
0.168032859,1.393184165,-0.15,0.0385228
0.16865649,1.394279631,-0.15,0.038636675
0.169280096,1.395368533,-0.15,0.038750545
0.16990367,1.396450878,-0.15,0.03886441
0.170527209,1.397526671,-0.15,0.038978268
0.171150706,1.398595919,-0.15,0.039092119
0.171774156,1.399658627,-0.15,0.039205961
0.172397555,1.400714802,-0.15,0.039319794
0.173020897,1.40176445,-0.15,0.039433616
0.173644177,1.402807577,-0.15,0.039547427
0.17426739,1.403844189,-0.15,0.039661225
0.174890531,1.404874293,-0.15,0.039775011
0.175513594,1.405897894,-0.15,0.039888782
0.176136575,1.406914999,-0.15,0.040002539
0.176759468,1.407925615,-0.15,0.040116279
0.177382269,1.408929748,-0.15,0.040230002
0.178004972,1.409927404,-0.15,0.040343708
0.178627573,1.41091859,-0.15,0.040457395
